movement_id,product_id,movement_date,movement_type,quantity_moved,location_id
INV000_INIT_P001,P001,2022-12-31,Initial Stock,210,WH_A
INV000_INIT_P002,P002,2022-12-31,Initial Stock,469,WH_A
INV000_INIT_P003,P003,2022-12-31,Initial Stock,298,WH_A
INV000_INIT_P004,P004,2022-12-31,Initial Stock,127,WH_A
INV000_INIT_P005,P005,2022-12-31,Initial Stock,330,WH_A
INV000_INIT_P006,P006,2022-12-31,Initial Stock,241,WH_A
INV000_INIT_P007,P007,2022-12-31,Initial Stock,197,WH_B
INV000_INIT_P008,P008,2022-12-31,Initial Stock,301,WH_B
INV000_INIT_P009,P009,2022-12-31,Initial Stock,447,WH_A
INV000_INIT_P010,P010,2022-12-31,Initial Stock,216,WH_A
INV000_INIT_P011,P011,2022-12-31,Initial Stock,357,WH_A
INV000_INIT_P012,P012,2022-12-31,Initial Stock,463,WH_B
INV000_INIT_P013,P013,2022-12-31,Initial Stock,155,WH_A
INV000_INIT_P014,P014,2022-12-31,Initial Stock,220,WH_B
INV000_INIT_P015,P015,2022-12-31,Initial Stock,204,WH_A
INV000_INIT_P016,P016,2022-12-31,Initial Stock,238,WH_A
INV000_INIT_P017,P017,2022-12-31,Initial Stock,478,WH_B
INV000_INIT_P018,P018,2022-12-31,Initial Stock,349,WH_B
INV000_INIT_P019,P019,2022-12-31,Initial Stock,267,WH_B
INV000_INIT_P020,P020,2022-12-31,Initial Stock,231,WH_A
INV000_INIT_P021,P021,2022-12-31,Initial Stock,232,WH_B
INV000_INIT_P022,P022,2022-12-31,Initial Stock,423,WH_A
INV000_INIT_P023,P023,2022-12-31,Initial Stock,411,WH_B
INV000_INIT_P024,P024,2022-12-31,Initial Stock,437,WH_A
INV000_INIT_P025,P025,2022-12-31,Initial Stock,241,WH_A
INV000_INIT_P026,P026,2022-12-31,Initial Stock,170,WH_A
INV000_INIT_P027,P027,2022-12-31,Initial Stock,455,WH_A
INV000_INIT_P028,P028,2022-12-31,Initial Stock,471,WH_A
INV000_INIT_P029,P029,2022-12-31,Initial Stock,402,WH_B
INV000_INIT_P030,P030,2022-12-31,Initial Stock,463,WH_A
INV000_INIT_P031,P031,2022-12-31,Initial Stock,332,WH_B
INV000_INIT_P032,P032,2022-12-31,Initial Stock,470,WH_B
INV000_INIT_P033,P033,2022-12-31,Initial Stock,128,WH_A
INV000_INIT_P034,P034,2022-12-31,Initial Stock,365,WH_B
INV000_INIT_P035,P035,2022-12-31,Initial Stock,481,WH_B
INV000_INIT_P036,P036,2022-12-31,Initial Stock,423,WH_B
INV000_INIT_P037,P037,2022-12-31,Initial Stock,209,WH_A
INV000_INIT_P038,P038,2022-12-31,Initial Stock,471,WH_A
INV000_INIT_P039,P039,2022-12-31,Initial Stock,346,WH_B
INV000_INIT_P040,P040,2022-12-31,Initial Stock,438,WH_A
INV000_INIT_P041,P041,2022-12-31,Initial Stock,246,WH_A
INV000_INIT_P042,P042,2022-12-31,Initial Stock,472,WH_A
INV000_INIT_P043,P043,2022-12-31,Initial Stock,101,WH_A
INV000_INIT_P044,P044,2022-12-31,Initial Stock,397,WH_B
INV000_INIT_P045,P045,2022-12-31,Initial Stock,171,WH_B
INV000_INIT_P046,P046,2022-12-31,Initial Stock,391,WH_B
INV000_INIT_P047,P047,2022-12-31,Initial Stock,255,WH_B
INV000_INIT_P048,P048,2022-12-31,Initial Stock,197,WH_B
INV000_INIT_P049,P049,2022-12-31,Initial Stock,338,WH_A
INV000_INIT_P050,P050,2022-12-31,Initial Stock,143,WH_B
INV000_INIT_P051,P051,2022-12-31,Initial Stock,385,WH_A
INV000_INIT_P052,P052,2022-12-31,Initial Stock,285,WH_A
INV000_INIT_P053,P053,2022-12-31,Initial Stock,221,WH_B
INV000_INIT_P054,P054,2022-12-31,Initial Stock,107,WH_A
INV000_INIT_P055,P055,2022-12-31,Initial Stock,444,WH_A
INV000_INIT_P056,P056,2022-12-31,Initial Stock,387,WH_A
INV000_INIT_P057,P057,2022-12-31,Initial Stock,468,WH_A
INV000_INIT_P058,P058,2022-12-31,Initial Stock,174,WH_B
INV000_INIT_P059,P059,2022-12-31,Initial Stock,405,WH_A
INV000_INIT_P060,P060,2022-12-31,Initial Stock,375,WH_A
INV000_INIT_P061,P061,2022-12-31,Initial Stock,268,WH_B
INV000_INIT_P062,P062,2022-12-31,Initial Stock,258,WH_A
INV000_INIT_P063,P063,2022-12-31,Initial Stock,391,WH_A
INV000_INIT_P064,P064,2022-12-31,Initial Stock,141,WH_B
INV000_INIT_P065,P065,2022-12-31,Initial Stock,244,WH_B
INV000_INIT_P066,P066,2022-12-31,Initial Stock,411,WH_A
INV000_INIT_P067,P067,2022-12-31,Initial Stock,251,WH_A
INV000_INIT_P068,P068,2022-12-31,Initial Stock,395,WH_B
INV000_INIT_P069,P069,2022-12-31,Initial Stock,125,WH_A
INV000_INIT_P070,P070,2022-12-31,Initial Stock,472,WH_A
INV000_INIT_P071,P071,2022-12-31,Initial Stock,156,WH_B
INV000_INIT_P072,P072,2022-12-31,Initial Stock,497,WH_B
INV000_INIT_P073,P073,2022-12-31,Initial Stock,122,WH_A
INV000_INIT_P074,P074,2022-12-31,Initial Stock,224,WH_B
INV000_INIT_P075,P075,2022-12-31,Initial Stock,163,WH_B
INV000_INIT_P076,P076,2022-12-31,Initial Stock,233,WH_B
INV000_INIT_P077,P077,2022-12-31,Initial Stock,168,WH_B
INV000_INIT_P078,P078,2022-12-31,Initial Stock,103,WH_A
INV000_INIT_P079,P079,2022-12-31,Initial Stock,349,WH_B
INV000_INIT_P080,P080,2022-12-31,Initial Stock,430,WH_B
INV000_INIT_P081,P081,2022-12-31,Initial Stock,420,WH_A
INV000_INIT_P082,P082,2022-12-31,Initial Stock,435,WH_A
INV000_INIT_P083,P083,2022-12-31,Initial Stock,497,WH_A
INV000_INIT_P084,P084,2022-12-31,Initial Stock,248,WH_B
INV000_INIT_P085,P085,2022-12-31,Initial Stock,381,WH_B
INV000_INIT_P086,P086,2022-12-31,Initial Stock,473,WH_B
INV000_INIT_P087,P087,2022-12-31,Initial Stock,405,WH_A
INV000_INIT_P088,P088,2022-12-31,Initial Stock,332,WH_A
INV000_INIT_P089,P089,2022-12-31,Initial Stock,266,WH_A
INV000_INIT_P090,P090,2022-12-31,Initial Stock,153,WH_A
INV000_INIT_P091,P091,2022-12-31,Initial Stock,477,WH_A
INV000_INIT_P092,P092,2022-12-31,Initial Stock,271,WH_B
INV000_INIT_P093,P093,2022-12-31,Initial Stock,243,WH_A
INV000_INIT_P094,P094,2022-12-31,Initial Stock,206,WH_B
INV000_INIT_P095,P095,2022-12-31,Initial Stock,316,WH_A
INV000_INIT_P096,P096,2022-12-31,Initial Stock,368,WH_A
