production_run_id,production_date,product_id,quantity_produced,direct_labor_hours,waste_quantity_produced,waste_reason
PR00001,2024-09-06,P059,460,158.91,0,None
PR00002,2024-09-26,P088,285,105.61,0,None
PR00003,2024-05-23,P007,92,45.38,7,Production Error
PR00004,2023-07-17,P043,413,96.11,0,None
PR00005,2024-08-10,P045,202,75.31,0,None
PR00006,2024-10-30,P050,103,27.45,0,None
PR00007,2024-10-06,P067,312,108.32,0,None
PR00008,2023-03-21,P053,486,124.94,0,None
PR00009,2023-05-24,P094,148,24.87,0,None
PR00010,2024-08-06,P055,222,83.92,0,None
PR00011,2024-02-16,P017,348,111.87,0,None
PR00012,2023-09-08,P073,97,14.94,0,None
PR00013,2023-08-26,P073,208,23.16,0,None
PR00014,2024-07-05,P093,436,95.74,0,None
PR00015,2024-03-12,P045,250,65.55,0,None
PR00016,2024-05-10,P002,103,13.11,0,None
PR00017,2023-12-06,P079,342,137.8,0,None
PR00018,2024-10-25,P090,244,38.19,13,Overproduction
PR00019,2024-05-20,P066,157,55.03,0,None
PR00020,2024-04-21,P018,77,35.94,0,None
PR00021,2023-06-12,P033,244,79.46,20,Production Error
PR00022,2023-03-14,P024,377,175.0,0,None
PR00023,2024-01-12,P082,71,20.15,0,None
PR00024,2024-02-24,P009,468,197.1,0,None
PR00025,2024-03-18,P052,357,104.1,0,None
PR00026,2023-09-09,P030,76,19.96,2,Spoilage
PR00027,2024-08-25,P070,433,152.97,0,None
PR00028,2023-07-15,P093,87,21.06,0,None
PR00029,2023-04-20,P038,265,31.38,6,Overproduction
PR00030,2024-04-23,P028,408,176.01,0,None
PR00031,2023-10-10,P072,458,152.21,0,None
PR00032,2023-12-01,P065,140,48.02,0,None
PR00033,2024-02-16,P018,58,15.9,0,None
PR00034,2023-01-08,P100,465,120.39,0,None
PR00035,2023-05-15,P024,245,87.41,0,None
PR00036,2023-12-13,P008,268,73.43,0,None
PR00037,2023-07-05,P081,426,59.95,0,None
PR00038,2023-12-12,P063,196,50.33,0,None
PR00039,2023-05-28,P083,423,79.74,0,None
PR00040,2023-08-14,P034,120,31.49,0,None
PR00041,2023-08-11,P093,67,30.57,1,Defective Material
PR00042,2024-01-16,P036,260,89.59,0,None
PR00043,2024-08-02,P020,113,54.02,5,Overproduction
PR00044,2023-09-10,P091,391,116.09,0,None
PR00045,2024-04-17,P063,173,54.99,0,None
PR00046,2023-11-30,P024,285,75.0,14,Production Error
PR00047,2024-09-26,P071,498,110.96,0,None
PR00048,2024-04-02,P061,284,45.37,0,None
PR00049,2023-11-24,P055,376,53.56,0,None
PR00050,2024-04-23,P034,346,112.76,0,None
PR00051,2024-08-26,P020,192,53.7,0,None
PR00052,2023-10-04,P084,427,82.1,0,None
PR00053,2023-01-27,P076,310,49.59,0,None
PR00054,2023-05-22,P033,267,105.77,0,None
PR00055,2024-02-28,P095,75,37.08,0,None
PR00056,2023-12-18,P049,291,48.1,0,None
PR00057,2024-01-20,P078,461,161.27,0,None
PR00058,2023-11-19,P066,55,7.27,0,None
PR00059,2024-06-23,P093,342,78.92,0,None
PR00060,2023-01-19,P016,65,11.32,0,None
PR00061,2024-11-06,P099,155,61.48,0,None
PR00062,2024-06-01,P039,207,101.65,0,None
PR00063,2023-11-01,P006,171,48.89,0,None
PR00064,2024-02-13,P099,290,84.15,0,None
PR00065,2024-04-07,P067,144,67.13,0,None
PR00066,2024-11-08,P100,316,35.19,21,Production Error
PR00067,2023-08-03,P043,113,26.75,0,None
PR00068,2023-01-20,P035,345,36.88,0,None
PR00069,2023-07-27,P028,85,36.51,0,None
PR00070,2023-04-04,P063,329,49.38,0,None
PR00071,2024-01-13,P011,439,194.15,12,Defective Material
PR00072,2023-12-22,P069,125,40.8,0,None
PR00073,2024-09-23,P100,267,70.63,23,Defective Material
PR00074,2023-09-19,P015,221,38.8,13,Production Error
PR00075,2023-03-20,P029,272,53.17,0,None
PR00076,2023-01-10,P019,316,120.28,7,Production Error
PR00077,2023-11-22,P053,315,104.52,0,None
PR00078,2024-03-20,P047,218,91.94,0,None
PR00079,2024-12-16,P045,446,73.17,0,None
PR00080,2024-05-02,P074,242,75.5,0,None
PR00081,2023-03-02,P084,108,35.15,0,None
PR00082,2024-06-11,P032,447,177.72,10,Spoilage
PR00083,2024-10-06,P060,210,89.41,0,None
PR00084,2024-02-11,P095,225,86.6,0,None
PR00085,2023-12-06,P049,397,87.81,0,None
PR00086,2023-09-20,P019,440,136.29,0,None
PR00087,2024-01-25,P078,352,139.49,0,None
PR00088,2024-08-15,P082,421,77.23,0,None
PR00089,2024-07-02,P035,369,82.91,0,None
PR00090,2024-12-21,P029,385,100.89,15,Spoilage
PR00091,2024-02-26,P015,327,64.77,0,None
PR00092,2024-11-26,P012,77,9.71,0,None
PR00093,2023-08-30,P082,247,89.06,0,None
PR00094,2024-10-10,P059,142,54.42,0,None
PR00095,2023-11-19,P059,124,24.88,4,Production Error
PR00096,2024-12-14,P001,378,105.62,0,None
PR00097,2023-05-11,P099,310,88.28,0,None
PR00098,2024-02-08,P050,139,32.71,0,None
PR00099,2023-12-01,P057,353,100.37,0,None
PR00100,2023-01-06,P070,176,44.31,0,None
PR00101,2023-05-18,P067,104,14.35,5,Defective Material
PR00102,2023-06-06,P092,115,15.77,0,None
PR00103,2024-11-26,P011,306,57.85,0,None
PR00104,2024-05-19,P032,225,62.46,0,None
PR00105,2023-07-22,P034,212,60.7,0,None
PR00106,2024-04-09,P022,497,148.02,6,Production Error
PR00107,2023-06-24,P041,145,15.21,0,None
PR00108,2024-08-08,P014,144,61.38,0,None
PR00109,2024-11-11,P069,243,71.67,22,Spoilage
PR00110,2024-04-27,P055,384,130.23,37,Spoilage
PR00111,2023-05-22,P055,480,54.93,0,None
PR00112,2024-11-16,P015,142,68.4,0,None
PR00113,2024-10-21,P080,421,128.64,0,None
PR00114,2024-04-28,P008,318,125.88,14,Production Error
PR00115,2023-06-30,P024,484,230.89,0,None
PR00116,2024-11-24,P055,422,124.78,0,None
PR00117,2024-11-13,P063,452,191.87,0,None
PR00118,2023-12-19,P004,493,201.17,0,None
PR00119,2024-12-15,P023,186,72.07,0,None
PR00120,2024-04-19,P023,85,31.8,0,None
PR00121,2024-12-04,P013,353,83.34,0,None
PR00122,2024-12-12,P060,113,20.96,0,None
PR00123,2024-05-28,P075,245,28.16,0,None
PR00124,2023-03-18,P006,240,103.19,0,None
PR00125,2023-07-31,P078,309,68.28,1,Overproduction
PR00126,2023-08-07,P059,314,156.63,0,None
PR00127,2023-07-23,P086,490,205.89,31,Overproduction
PR00128,2024-03-15,P013,168,29.02,0,None
PR00129,2023-05-01,P030,472,161.48,0,None
PR00130,2024-05-14,P029,471,63.49,0,None
PR00131,2024-06-30,P069,376,83.54,27,Production Error
PR00132,2024-11-11,P016,86,37.9,0,None
PR00133,2024-04-21,P076,349,125.95,0,None
PR00134,2023-05-19,P057,381,151.07,0,None
PR00135,2024-02-12,P100,432,212.44,0,None
