order_id,order_date,product_id,quantity_sold,unit_selling_price
SO00001,2024-09-20,P034,5,64.19
SO00002,2023-08-14,P044,14,106.56
SO00003,2023-08-26,P032,8,107.05
SO00004,2023-06-05,P085,4,154.14
SO00005,2023-02-03,P073,9,204.97
SO00006,2023-04-30,P003,17,199.23
SO00007,2023-04-22,P037,7,46.12
SO00008,2024-07-08,P039,15,53.65
SO00009,2023-11-22,P049,20,106.24
SO00010,2023-03-16,P017,17,19.36
SO00011,2023-05-11,P075,9,146.97
SO00012,2023-09-18,P011,5,182.11
SO00013,2024-06-12,P025,17,83.96
SO00014,2023-03-08,P028,17,33.06
SO00015,2024-10-15,P046,23,32.11
SO00016,2024-11-30,P014,3,535.14
SO00017,2023-07-15,P093,13,197.03
SO00018,2024-07-05,P093,17,161.56
SO00019,2024-01-17,P068,7,187.73
SO00020,2024-12-14,P041,35,49.91
SO00021,2024-10-24,P021,2,148.18
SO00022,2023-02-14,P078,13,229.05
SO00023,2023-12-12,P063,15,37.3
SO00024,2024-10-09,P033,14,82.19
SO00025,2024-01-31,P001,19,74.0
SO00026,2023-01-29,P018,19,40.34
SO00027,2023-11-01,P083,31,147.54
SO00028,2024-01-22,P036,11,145.67
SO00029,2024-03-02,P074,9,118.94
SO00030,2023-01-12,P032,13,75.37
SO00031,2024-07-20,P075,15,106.25
SO00032,2024-11-20,P047,34,78.49
SO00033,2023-09-05,P093,8,205.46
SO00034,2023-05-12,P012,10,115.34
SO00035,2024-06-26,P098,13,357.66
SO00036,2023-02-17,P058,11,85.79
SO00037,2023-03-01,P071,13,19.44
SO00038,2024-02-23,P011,15,160.4
SO00039,2023-11-01,P076,5,203.29
SO00040,2024-09-09,P075,1,87.04
SO00041,2023-03-01,P046,14,29.47
SO00042,2023-05-23,P007,13,1156.47
SO00043,2024-09-22,P061,17,55.81
SO00044,2023-03-26,P067,2,48.85
SO00045,2023-11-26,P035,11,353.3
SO00046,2023-08-28,P096,7,151.39
SO00047,2023-07-26,P096,4,228.0
SO00048,2023-12-21,P082,2,130.12
SO00049,2023-07-27,P059,2,76.62
SO00050,2024-10-05,P090,14,118.11
SO00051,2024-07-03,P072,8,203.75
SO00052,2023-10-29,P020,17,110.38
SO00053,2024-07-08,P060,4,203.99
SO00054,2024-04-29,P043,3,71.9
SO00055,2024-10-11,P057,12,113.96
SO00056,2023-09-02,P056,8,185.89
SO00057,2023-06-06,P017,19,23.83
SO00058,2023-08-24,P058,17,97.46
SO00059,2024-11-29,P088,11,118.42
SO00060,2023-12-22,P095,20,101.03
SO00061,2023-09-16,P071,2,16.57
SO00062,2023-05-04,P069,13,172.29
SO00063,2023-04-11,P003,6,139.94
SO00064,2023-10-15,P083,27,161.68
SO00065,2024-02-02,P036,12,136.4
SO00066,2024-05-13,P044,11,107.91
SO00067,2024-09-22,P088,2,112.92
SO00068,2023-12-26,P055,3,146.45
SO00069,2023-09-24,P099,19,705.55
SO00070,2023-03-14,P074,8,133.11
SO00071,2024-10-06,P004,16,54.96
SO00072,2023-08-23,P086,19,1219.18
SO00073,2023-01-16,P052,1,53.09
SO00074,2024-05-05,P038,19,156.29
SO00075,2023-05-10,P079,3,19.25
SO00076,2024-03-11,P039,9,31.15
SO00077,2024-12-26,P001,3,89.32
SO00078,2023-09-18,P088,9,138.36
SO00079,2024-02-14,P057,3,125.23
SO00080,2024-11-06,P024,21,71.65
SO00081,2024-11-26,P037,18,90.44
SO00082,2023-06-30,P082,2,102.83
SO00083,2023-10-06,P044,11,121.05
SO00084,2024-10-26,P077,13,173.66
SO00085,2023-01-03,P098,9,421.46
SO00086,2023-12-28,P034,7,43.17
SO00087,2023-01-03,P084,18,190.41
SO00088,2023-10-06,P061,20,85.83
SO00089,2023-08-12,P094,12,166.73
SO00090,2024-12-05,P018,11,50.97
SO00091,2024-12-05,P063,22,44.06
SO00092,2024-05-12,P047,17,61.17
SO00093,2023-10-15,P080,30,22.41
SO00094,2024-12-22,P003,9,149.28
SO00095,2024-07-16,P040,17,546.04
SO00096,2023-10-26,P046,9,19.45
SO00097,2024-12-31,P070,21,221.73
SO00098,2024-08-04,P079,10,14.72
SO00099,2023-01-15,P094,1,171.48
SO00100,2023-04-28,P021,11,103.32
SO00101,2023-01-22,P044,19,85.54
SO00102,2024-04-23,P089,4,52.97
SO00103,2023-03-14,P098,6,323.12
SO00104,2023-07-08,P067,4,48.79
SO00105,2023-09-12,P026,9,97.69
SO00106,2024-11-15,P015,3,36.47
SO00107,2024-07-18,P017,4,19.11
SO00108,2023-05-17,P019,7,199.95
SO00109,2024-11-06,P019,29,135.71
SO00110,2023-06-30,P089,5,70.64
SO00111,2024-11-12,P096,9,243.3
SO00112,2024-09-21,P036,14,164.63
SO00113,2024-03-07,P087,13,260.53
SO00114,2023-10-08,P001,16,60.9
SO00115,2023-03-09,P097,11,30.34
SO00116,2024-09-30,P078,2,240.45
SO00117,2023-03-09,P015,3,53.45
SO00118,2024-07-31,P033,4,83.33
SO00119,2024-11-27,P091,20,1202.32
SO00120,2024-07-02,P044,15,80.26
SO00121,2023-09-16,P017,14,26.11
SO00122,2024-12-16,P056,30,186.31
SO00123,2024-04-05,P054,17,153.4
SO00124,2024-07-27,P040,5,592.87
SO00125,2023-09-21,P030,13,125.15
SO00126,2024-05-08,P070,3,216.85
SO00127,2023-11-05,P011,1,185.21
SO00128,2023-06-09,P071,1,14.48
SO00129,2023-09-19,P084,5,123.95
SO00130,2023-04-22,P093,15,209.04
